municipio_id,municipio_nome,uf,ano,pib_total_mil_reais
2203008,Cristalândia do Piauí,PI,2020,69091.0
2203008,Cristalândia do Piauí,PI,2021,75069.0
2203107,Cristino Castro,PI,2020,113903.0
2203107,Cristino Castro,PI,2021,121550.0
2203206,Curimatá,PI,2020,121756.0
2203206,Curimatá,PI,2021,141390.0
2203230,Currais,PI,2020,329609.0
2203230,Currais,PI,2021,409013.0
2203255,Curralinhos,PI,2020,34850.0
2203255,Curralinhos,PI,2021,39660.0
2203271,Curral Novo do Piauí,PI,2020,65306.0
2203271,Curral Novo do Piauí,PI,2021,78394.0
2203305,Demerval Lobão,PI,2020,196310.0
2203305,Demerval Lobão,PI,2021,211639.0
2203354,Dirceu Arcoverde,PI,2020,62126.0
2203354,Dirceu Arcoverde,PI,2021,67492.0
2203404,Dom Expedito Lopes,PI,2020,78829.0
2203404,Dom Expedito Lopes,PI,2021,78045.0
2203420,Domingos Mourão,PI,2020,41668.0
2203420,Domingos Mourão,PI,2021,46532.0
2203453,Dom Inocêncio,PI,2020,96045.0
2203453,Dom Inocêncio,PI,2021,164346.0
2203503,Elesbão Veloso,PI,2020,152702.0
2203503,Elesbão Veloso,PI,2021,164731.0
2203602,Eliseu Martins,PI,2020,51582.0
2203602,Eliseu Martins,PI,2021,55592.0
2203701,Esperantina,PI,2020,432931.0
2203701,Esperantina,PI,2021,456546.0
2203750,Fartura do Piauí,PI,2020,42078.0
2203750,Fartura do Piauí,PI,2021,46774.0
2203800,Flores do Piauí,PI,2020,44102.0
2203800,Flores do Piauí,PI,2021,48120.0
2203859,Floresta do Piauí,PI,2020,24381.0
2203859,Floresta do Piauí,PI,2021,25258.0
2203909,Floriano,PI,2020,1310020.0
2203909,Floriano,PI,2021,1469174.0
2204006,Francinópolis,PI,2020,41649.0
2204006,Francinópolis,PI,2021,44797.0
2204105,Francisco Ayres,PI,2020,42582.0
2204105,Francisco Ayres,PI,2021,46763.0
2204154,Francisco Macedo,PI,2020,34745.0
2204154,Francisco Macedo,PI,2021,32841.0
2204204,Francisco Santos,PI,2020,82914.0
2204204,Francisco Santos,PI,2021,83027.0
2204303,Fronteiras,PI,2020,118307.0
2204303,Fronteiras,PI,2021,112454.0
2204352,Geminiano,PI,2020,56312.0
2204352,Geminiano,PI,2021,59253.0
2204402,Gilbués,PI,2020,306922.0
2204402,Gilbués,PI,2021,416894.0
2204501,Guadalupe,PI,2020,552496.0
2204501,Guadalupe,PI,2021,637192.0
2204550,Guaribas,PI,2020,42452.0
2204550,Guaribas,PI,2021,45099.0
2204600,Hugo Napoleão,PI,2020,31901.0
2204600,Hugo Napoleão,PI,2021,34066.0
2204659,Ilha Grande,PI,2020,80050.0
2204659,Ilha Grande,PI,2021,119725.0
2204709,Inhuma,PI,2020,152854.0
2204709,Inhuma,PI,2021,163624.0
2204808,Ipiranga do Piauí,PI,2020,79805.0
2204808,Ipiranga do Piauí,PI,2021,82417.0
2204907,Isaías Coelho,PI,2020,79906.0
2204907,Isaías Coelho,PI,2021,80798.0
2205003,Itainópolis,PI,2020,103985.0
2205003,Itainópolis,PI,2021,108192.0
2205102,Itaueira,PI,2020,127608.0
2205102,Itaueira,PI,2021,131853.0
2205151,Jacobina do Piauí,PI,2020,58623.0
2205151,Jacobina do Piauí,PI,2021,69064.0
2205201,Jaicós,PI,2020,193502.0
2205201,Jaicós,PI,2021,191771.0
2205250,Jardim do Mulato,PI,2020,34788.0
2205250,Jardim do Mulato,PI,2021,39632.0
2205276,Jatobá do Piauí,PI,2020,51511.0
2205276,Jatobá do Piauí,PI,2021,58747.0
2205300,Jerumenha,PI,2020,48022.0
2205300,Jerumenha,PI,2021,63528.0
2205359,João Costa,PI,2020,64082.0
2205359,João Costa,PI,2021,69289.0
2205409,Joaquim Pires,PI,2020,107278.0
2205409,Joaquim Pires,PI,2021,118894.0
2205458,Joca Marques,PI,2020,44858.0
2205458,Joca Marques,PI,2021,46226.0
2205508,José de Freitas,PI,2020,379057.0
2205508,José de Freitas,PI,2021,390718.0
2205516,Juazeiro do Piauí,PI,2020,60572.0
2205516,Juazeiro do Piauí,PI,2021,56058.0
2205524,Júlio Borges,PI,2020,73994.0
2205524,Júlio Borges,PI,2021,80794.0
2205532,Jurema,PI,2020,42988.0
2205532,Jurema,PI,2021,43566.0
2205540,Lagoinha do Piauí,PI,2020,37321.0
2205540,Lagoinha do Piauí,PI,2021,40519.0
2205557,Lagoa Alegre,PI,2020,73116.0
2205557,Lagoa Alegre,PI,2021,77314.0
2205565,Lagoa do Barro do Piauí,PI,2020,351512.0
2205565,Lagoa do Barro do Piauí,PI,2021,534683.0
2205573,Lagoa de São Francisco,PI,2020,52984.0
2205573,Lagoa de São Francisco,PI,2021,54980.0
2205581,Lagoa do Piauí,PI,2020,66658.0
2205581,Lagoa do Piauí,PI,2021,75615.0
2205599,Lagoa do Sítio,PI,2020,45727.0
2205599,Lagoa do Sítio,PI,2021,48595.0
2205607,Landri Sales,PI,2020,87623.0
2205607,Landri Sales,PI,2021,109799.0
2205706,Luís Correia,PI,2020,347609.0
2205706,Luís Correia,PI,2021,378697.0
2205805,Luzilândia,PI,2020,222359.0
2205805,Luzilândia,PI,2021,241221.0
2205854,Madeiro,PI,2020,64411.0
2205854,Madeiro,PI,2021,75141.0
2205904,Manoel Emídio,PI,2020,53471.0
2205904,Manoel Emídio,PI,2021,54807.0
2205953,Marcolândia,PI,2020,153090.0
2205953,Marcolândia,PI,2021,198352.0
2206001,Marcos Parente,PI,2020,47921.0
2206001,Marcos Parente,PI,2021,54884.0
2206050,Massapê do Piauí,PI,2020,52917.0
2206050,Massapê do Piauí,PI,2021,52130.0
2206100,Matias Olímpio,PI,2020,90360.0
2206100,Matias Olímpio,PI,2021,95555.0
2206209,Miguel Alves,PI,2020,280386.0
2206209,Miguel Alves,PI,2021,312819.0
2206308,Miguel Leão,PI,2020,21596.0
2206308,Miguel Leão,PI,2021,23604.0
2206357,Milton Brandão,PI,2020,54471.0
2206357,Milton Brandão,PI,2021,53563.0
2206407,Monsenhor Gil,PI,2020,108321.0
2206407,Monsenhor Gil,PI,2021,127469.0
2206506,Monsenhor Hipólito,PI,2020,90017.0
2206506,Monsenhor Hipólito,PI,2021,72882.0
2206605,Monte Alegre do Piauí,PI,2020,249657.0
2206605,Monte Alegre do Piauí,PI,2021,298089.0
2206654,Morro Cabeça no Tempo,PI,2020,35842.0
2206654,Morro Cabeça no Tempo,PI,2021,39152.0
2206670,Morro do Chapéu do Piauí,PI,2020,58910.0
2206670,Morro do Chapéu do Piauí,PI,2021,62450.0
2206696,Murici dos Portelas,PI,2020,70558.0
2206696,Murici dos Portelas,PI,2021,74909.0
2206704,Nazaré do Piauí,PI,2020,64598.0
2206704,Nazaré do Piauí,PI,2021,67046.0
2206720,Nazária,PI,2020,96020.0
2206720,Nazária,PI,2021,94817.0
2206753,Nossa Senhora de Nazaré,PI,2020,42523.0
2206753,Nossa Senhora de Nazaré,PI,2021,47885.0
2206803,Nossa Senhora dos Remédios,PI,2020,74638.0
2206803,Nossa Senhora dos Remédios,PI,2021,78547.0
2206902,Novo Oriente do Piauí,PI,2020,53133.0
2206902,Novo Oriente do Piauí,PI,2021,58172.0
2206951,Novo Santo Antônio,PI,2020,28179.0
2206951,Novo Santo Antônio,PI,2021,31237.0
2207009,Oeiras,PI,2020,538556.0
2207009,Oeiras,PI,2021,584373.0
2207108,Olho D'Água do Piauí,PI,2020,26002.0
2207108,Olho D'Água do Piauí,PI,2021,28731.0
2207207,Padre Marcos,PI,2020,74804.0
2207207,Padre Marcos,PI,2021,73909.0
2207306,Paes Landim,PI,2020,43188.0
2207306,Paes Landim,PI,2021,44249.0
2207355,Pajeú do Piauí,PI,2020,48853.0
2207355,Pajeú do Piauí,PI,2021,52581.0
2207405,Palmeira do Piauí,PI,2020,129020.0
2207405,Palmeira do Piauí,PI,2021,141457.0
2207504,Palmeirais,PI,2020,125159.0
2207504,Palmeirais,PI,2021,138692.0
2207553,Paquetá,PI,2020,41897.0
2207553,Paquetá,PI,2021,44237.0
2207603,Parnaguá,PI,2020,113667.0
2207603,Parnaguá,PI,2021,119215.0
2207702,Parnaíba,PI,2020,2611434.0
2207702,Parnaíba,PI,2021,2968947.0
2207751,Passagem Franca do Piauí,PI,2020,41460.0
2207751,Passagem Franca do Piauí,PI,2021,48758.0
2207777,Patos do Piauí,PI,2020,57030.0
2207777,Patos do Piauí,PI,2021,64629.0
2207793,Pau D'Arco do Piauí,PI,2020,31697.0
2207793,Pau D'Arco do Piauí,PI,2021,33612.0
2207801,Paulistana,PI,2020,252235.0
2207801,Paulistana,PI,2021,267709.0
2207850,Pavussu,PI,2020,35504.0
2207850,Pavussu,PI,2021,37693.0
2207900,Pedro II,PI,2020,356419.0
2207900,Pedro II,PI,2021,386275.0
2207934,Pedro Laurentino,PI,2020,27381.0
2207934,Pedro Laurentino,PI,2021,31322.0
2207959,Nova Santa Rita,PI,2020,44012.0
2207959,Nova Santa Rita,PI,2021,43931.0
2208007,Picos,PI,2020,1758645.0
2208007,Picos,PI,2021,1940259.0
2208106,Pimenteiras,PI,2020,104389.0
2208106,Pimenteiras,PI,2021,106973.0
2208205,Pio IX,PI,2020,207260.0
2208205,Pio IX,PI,2021,202627.0
2208304,Piracuruca,PI,2020,335082.0
2208304,Piracuruca,PI,2021,363522.0
2208403,Piripiri,PI,2020,903368.0
2208403,Piripiri,PI,2021,916771.0
2208502,Porto,PI,2020,101795.0
2208502,Porto,PI,2021,118547.0
2208551,Porto Alegre do Piauí,PI,2020,28847.0
2208551,Porto Alegre do Piauí,PI,2021,39212.0
2208601,Prata do Piauí,PI,2020,27297.0
2208601,Prata do Piauí,PI,2021,27584.0
2208650,Queimada Nova,PI,2020,119598.0
2208650,Queimada Nova,PI,2021,253485.0
2208700,Redenção do Gurguéia,PI,2020,87293.0
2208700,Redenção do Gurguéia,PI,2021,97930.0
2208809,Regeneração,PI,2020,218201.0
2208809,Regeneração,PI,2021,264514.0
2208858,Riacho Frio,PI,2020,44378.0
2208858,Riacho Frio,PI,2021,46279.0
2208874,Ribeira do Piauí,PI,2020,185657.0
2208874,Ribeira do Piauí,PI,2021,217390.0
2208908,Ribeiro Gonçalves,PI,2020,461223.0
2208908,Ribeiro Gonçalves,PI,2021,695855.0
2209005,Rio Grande do Piauí,PI,2020,57168.0
2209005,Rio Grande do Piauí,PI,2021,61491.0
2209104,Santa Cruz do Piauí,PI,2020,61612.0
2209104,Santa Cruz do Piauí,PI,2021,61011.0
2209153,Santa Cruz dos Milagres,PI,2020,41415.0
2209153,Santa Cruz dos Milagres,PI,2021,45472.0
2209203,Santa Filomena,PI,2020,498743.0
2209203,Santa Filomena,PI,2021,615987.0
2209302,Santa Luz,PI,2020,56392.0
2209302,Santa Luz,PI,2021,62480.0
2209351,Santana do Piauí,PI,2020,39168.0
2209351,Santana do Piauí,PI,2021,40807.0
2209377,Santa Rosa do Piauí,PI,2020,46466.0
2209377,Santa Rosa do Piauí,PI,2021,50228.0
2209401,Santo Antônio de Lisboa,PI,2020,71695.0
2209401,Santo Antônio de Lisboa,PI,2021,71849.0
2209450,Santo Antônio dos Milagres,PI,2020,16740.0
2209450,Santo Antônio dos Milagres,PI,2021,18051.0
2209500,Santo Inácio do Piauí,PI,2020,37600.0
2209500,Santo Inácio do Piauí,PI,2021,40377.0
2209559,São Braz do Piauí,PI,2020,40275.0
2209559,São Braz do Piauí,PI,2021,39471.0
2209609,São Félix do Piauí,PI,2020,30952.0
2209609,São Félix do Piauí,PI,2021,32116.0
2209658,São Francisco de Assis do Piauí,PI,2020,52643.0
2209658,São Francisco de Assis do Piauí,PI,2021,55545.0
2209708,São Francisco do Piauí,PI,2020,56606.0
2209708,São Francisco do Piauí,PI,2021,58406.0
2209757,São Gonçalo do Gurguéia,PI,2020,53774.0
2209757,São Gonçalo do Gurguéia,PI,2021,54607.0
2209807,São Gonçalo do Piauí,PI,2020,50796.0
2209807,São Gonçalo do Piauí,PI,2021,56735.0
2209856,São João da Canabrava,PI,2020,46888.0
2209856,São João da Canabrava,PI,2021,49321.0
2209872,São João da Fronteira,PI,2020,57407.0
2209872,São João da Fronteira,PI,2021,60925.0
2209906,São João da Serra,PI,2020,59565.0
2209906,São João da Serra,PI,2021,59723.0
2209955,São João da Varjota,PI,2020,34402.0
2209955,São João da Varjota,PI,2021,36648.0
2209971,São João do Arraial,PI,2020,62413.0
2209971,São João do Arraial,PI,2021,68235.0
2210003,São João do Piauí,PI,2020,448100.0
2210003,São João do Piauí,PI,2021,426951.0
2210052,São José do Divino,PI,2020,55966.0
2210052,São José do Divino,PI,2021,63753.0
2210102,São José do Peixe,PI,2020,39540.0
2210102,São José do Peixe,PI,2021,42836.0
2210201,São José do Piauí,PI,2020,68054.0
2210201,São José do Piauí,PI,2021,68075.0
2210300,São Julião,PI,2020,57801.0
2210300,São Julião,PI,2021,59534.0
2210359,São Lourenço do Piauí,PI,2020,40637.0
2210359,São Lourenço do Piauí,PI,2021,45315.0
2210375,São Luis do Piauí,PI,2020,24841.0
2210375,São Luis do Piauí,PI,2021,25332.0
2210383,São Miguel da Baixa Grande,PI,2020,25349.0
2210383,São Miguel da Baixa Grande,PI,2021,27272.0
2210391,São Miguel do Fidalgo,PI,2020,52349.0
2210391,São Miguel do Fidalgo,PI,2021,47464.0
2210409,São Miguel do Tapuio,PI,2020,150600.0
2210409,São Miguel do Tapuio,PI,2021,163378.0
2210508,São Pedro do Piauí,PI,2020,118795.0
2210508,São Pedro do Piauí,PI,2021,134821.0
2210607,São Raimundo Nonato,PI,2020,544992.0
2210607,São Raimundo Nonato,PI,2021,566178.0
2210623,Sebastião Barros,PI,2020,41734.0
2210623,Sebastião Barros,PI,2021,46712.0
2210631,Sebastião Leal,PI,2020,175971.0
2210631,Sebastião Leal,PI,2021,255415.0
2210656,Sigefredo Pacheco,PI,2020,75579.0
2210656,Sigefredo Pacheco,PI,2021,78161.0
2210706,Simões,PI,2020,284849.0
2210706,Simões,PI,2021,434444.0
2210805,Simplício Mendes,PI,2020,168913.0
2210805,Simplício Mendes,PI,2021,182823.0
2210904,Socorro do Piauí,PI,2020,40739.0
2210904,Socorro do Piauí,PI,2021,41067.0
2210938,Sussuapara,PI,2020,73054.0
2210938,Sussuapara,PI,2021,76888.0
2210953,Tamboril do Piauí,PI,2020,29914.0
2210953,Tamboril do Piauí,PI,2021,30388.0
2210979,Tanque do Piauí,PI,2020,32903.0
2210979,Tanque do Piauí,PI,2021,33181.0
2211001,Teresina,PI,2020,21608861.0
2211001,Teresina,PI,2021,23895231.0
2211100,União,PI,2020,407096.0
2211100,União,PI,2021,420316.0
