municipio_id,municipio_nome,uf,ano,populacao_estimada
2202000,Buriti dos Lopes,PI,2021,19832
2202000,Buriti dos Lopes,PI,2024,20096
2202026,Buriti dos Montes,PI,2019,8244
2202026,Buriti dos Montes,PI,2020,8264
2202026,Buriti dos Montes,PI,2021,8282
2202026,Buriti dos Montes,PI,2024,7538
2202059,Cabeceiras do Piauí,PI,2019,10586
2202059,Cabeceiras do Piauí,PI,2020,10630
2202059,Cabeceiras do Piauí,PI,2021,10671
2202059,Cabeceiras do Piauí,PI,2024,10449
2202075,Cajazeiras do Piauí,PI,2019,3559
2202075,Cajazeiras do Piauí,PI,2020,3573
2202075,Cajazeiras do Piauí,PI,2021,3586
2202075,Cajazeiras do Piauí,PI,2024,3146
2202083,Cajueiro da Praia,PI,2019,7642
2202083,Cajueiro da Praia,PI,2020,7674
2202083,Cajueiro da Praia,PI,2021,7704
2202083,Cajueiro da Praia,PI,2024,8203
2202091,Caldeirão Grande do Piauí,PI,2019,5776
2202091,Caldeirão Grande do Piauí,PI,2020,5781
2202091,Caldeirão Grande do Piauí,PI,2021,5786
2202091,Caldeirão Grande do Piauí,PI,2024,5605
2202109,Campinas do Piauí,PI,2019,5613
2202109,Campinas do Piauí,PI,2020,5620
2202109,Campinas do Piauí,PI,2021,5628
2202109,Campinas do Piauí,PI,2024,4988
2202117,Campo Alegre do Fidalgo,PI,2019,5045
2202117,Campo Alegre do Fidalgo,PI,2020,5069
2202117,Campo Alegre do Fidalgo,PI,2021,5093
2202117,Campo Alegre do Fidalgo,PI,2024,4701
2202133,Campo Grande do Piauí,PI,2019,5943
2202133,Campo Grande do Piauí,PI,2020,5965
2202133,Campo Grande do Piauí,PI,2021,5987
2202133,Campo Grande do Piauí,PI,2024,6188
2202174,Campo Largo do Piauí,PI,2019,7279
2202174,Campo Largo do Piauí,PI,2020,7311
2202174,Campo Largo do Piauí,PI,2021,7342
2202174,Campo Largo do Piauí,PI,2024,7636
2202208,Campo Maior,PI,2019,46833
2202208,Campo Maior,PI,2020,46893
2202208,Campo Maior,PI,2021,46950
2202208,Campo Maior,PI,2024,47074
2202251,Canavieira,PI,2019,3950
2202251,Canavieira,PI,2020,3944
2202251,Canavieira,PI,2021,3938
2202251,Canavieira,PI,2024,3429
2202307,Canto do Buriti,PI,2019,21187
2202307,Canto do Buriti,PI,2020,21258
2202307,Canto do Buriti,PI,2021,21326
2202307,Canto do Buriti,PI,2024,19669
2202406,Capitão de Campos,PI,2019,11417
2202406,Capitão de Campos,PI,2020,11445
2202406,Capitão de Campos,PI,2021,11471
2202406,Capitão de Campos,PI,2024,11347
2202455,Capitão Gervásio Oliveira,PI,2019,4100
2202455,Capitão Gervásio Oliveira,PI,2020,4114
2202455,Capitão Gervásio Oliveira,PI,2021,4127
2202455,Capitão Gervásio Oliveira,PI,2024,4065
2202505,Caracol,PI,2019,10916
2202505,Caracol,PI,2020,10964
2202505,Caracol,PI,2021,11009
2202505,Caracol,PI,2024,10538
2202539,Caraúbas do Piauí,PI,2019,5868
2202539,Caraúbas do Piauí,PI,2020,5890
2202539,Caraúbas do Piauí,PI,2021,5910
2202539,Caraúbas do Piauí,PI,2024,5755
2202554,Caridade do Piauí,PI,2019,5067
2202554,Caridade do Piauí,PI,2020,5085
2202554,Caridade do Piauí,PI,2021,5102
2202554,Caridade do Piauí,PI,2024,5162
2202604,Castelo do Piauí,PI,2019,19716
2202604,Castelo do Piauí,PI,2020,19715
2202604,Castelo do Piauí,PI,2021,19716
2202604,Castelo do Piauí,PI,2024,19663
2202653,Caxingó,PI,2019,5424
2202653,Caxingó,PI,2020,5451
2202653,Caxingó,PI,2021,5477
2202653,Caxingó,PI,2024,5657
2202703,Cocal,PI,2019,27787
